,Hütten-Name,Hütte-ID,Hut warden(s),Hut phone number,Total sleeping places,Height above sea level,Coordinates
40,"Oberaletschhütte SAC, CAS Chasseral",47, Irene Aeberhard, +41 (0) 27 927 17 67, 58, 2640 m, 640.944 / 141.567
41,"Capanna Bovarina, UTOE Bellinzona",49, Riccardo Foti 076.302.60.30, +41 (0)91 872 15 29, 30, 1870 m, 711.250 / 157.600
42,"Chamanna Cluozza, Schweizerischer Nationalpark",50, Nicole & Artur Naue, 081 856 12 35, 61, 1882 m, 2804995 / 1171461
43,Berghaus Männdlenen,52, Robert Reichen, +41 (0) 33 853 44 64, 28, 2344 m, 640'570 / 168'770
44,"Igloo des Pantalons Blancs, CAS Sion",53, Jean-Marc Dayer jemada@netplus.ch, +41 (0) 78 609 42 00, 15, 3285 m, 594.560 / 098.780
45,"Chelenalphütte SAC, SAC Aarau",55, Remo & Petra Gisler, +41 (0)41 885 19 30, 42, 2350 m, 676'630 / 169'430
46,"Spitzsteinhaus, DAV Sektion Bergfreunde München",57, Tobias Bachmann, +43 5373 8330, 28 Betten in 8 Zimmern und 25 Lager in 3 Räumen, 1.252 m," N 47° 42' 16"" , E 12° 14' 36"""
47,"Neue Prager Hütte, DAV Bundesverband",58, Wilfried Studer, 0043 664 6304186, 84, 2796 m, Längengrad
48,"Glungezerhütte, Alpenverein Hall in Tirol",62, Koller Bernhard, +43/5223/78018, 50, 2610 m, UTM Y(Nord) 5.231.585 / UTM X (Ost) 691.353
49,"Ascher Hütte, DAV Sektion Pfaffenhofen-Asch",63, Daniel Schütz +436507230506, +43 676 6168016, 22, 2256 m," lat=""47.065833"" lon=""10.504717"""
50,"La Borbuintze, CAS Diablerets",64, Julien Grand, +41 (0) 79 701 81 00, 33, 1333 m, 563.370 / 151.060
51,"Wildstrubelhütte SAC, SAC Wildhorn-Kaiseregg",65, Maxi Weiner & Konrad Rösti, +41 33 744 33 39, 68, 2789 m, 602.270 / 136.800
52,"Cabane Barraud, CAS Diablerets",67," Jean Raymond, Préposé Alain Détraz, Adjoint", +41 (0) 79 843 03 80, 32, 1956 m, 2 578 760 / 1 125 910
53,"Chalet Lacombe, CAS Diablerets",68, Karine Vernez Thomas, +41 (0) 79 566 04 83, 22, 1653 m, 569'582/137'530
54,"Rotstockhütte, Skiclub Stechelberg",69, Simon Furrer, +41 (0)33 855 24 64, 43, 2039 m, 630650 / 154949
55,"Bettelwurf Hütte, Alpenverein Innsbruck",72, Christine Art und Ralf Kress, +43 5223 533 53;, 62, 2077 m," 47° 20,323' / 11° 30,436'"
56,"Höllentalangerhütte, DAV Sektion München",73, Pächterfamilie Auer, +49 8821 9438548, 108, 1387m," N 47°26'17'', E 11°1'29''"
57,"Schesaplana Hütte, SAC Pfannenstiel",75, Dal Ponte Hanspeter u. Petra, +41 (0) 81 325 11 63, 40, 1908 m, 770.590 / 212.770
58,"Refuge des Petoudes, CAS Diablerets",76, Préposé , Pas de téléphone, 9, 2169 m, 566.860 / 96.570
59,"Mönchsjochhütte, Genossenschaft Mönchsjochhütte",77, Yann Roulet - 3801 Jungfraujoch, +41 (0)33 971 34 72, 127, 3657 m, 643.500 / 156.100
60,"Chamonna Lischana CAS, CAS Engiadina Bassa",78, Hofer Ursula Telefon, +41 81 864 95 44, 42, 2500 m, 821160 / 183460
61,"Klostertaler Umwelthütte, DAV Bundesverband",79, Bundesgeschäftsstelle DAV München - Telefonische Geschäftszeiten Mo-Do 9 bis 16 Uhr und Fr 9-12 Uhr, +49 89 1400341, 15 Plätze im Matratzenlager, 2362 m, 5192513 / 581238
62,"Silvrettahütte SAC, SAC St.Gallen",80, Marco Brot, +41 (0)81 422 13 06, 69, 2341 m, 798460 / 192540
63,"Blaueishütte, DAV Sektion Berchtesgaden",81, Fam. Hang, +49 8657 271, 80, 1680 m, N 47°35.221` O 12°52.168`
64,"Hallerangerhaus, DAV Sektion Schwaben",82, Thomas Lehner, 0043720347028, 73, 1768 m, N 5.247.560 UTM O 32.687.070
65,"Fritz-Putz Hütte, DAV Sektion Füssen",83, Unser Hüttenteam, 0049 8362 507187, 39 Plätze, 1180 m," 47° 32‘ 16“ Nord, 10° 46‘ 24“ Ost"
66,"Staufner Haus, DAV Sektion Oberstaufen-Lindenberg",85, Lukas & Katka Zeman, 08386-8255, 77, 1634 m, 47.509660 N / 10.057730 E
67,"Frassenhütte, Alpenverein Vorarlberg",86, Gudrun Schimpfössl & Tenjing Sherpa, +43 664 1412437, 50, 1.725 m, UTM Y (Nord) 5.226.593 / UTM X (Ost) 562.697
68,"Karwendelhaus, DAV Sektion Männer Turnverein München",87, Brigitte und Andreas Ruech, +43 720 983554, 140, 1765 m," 472537,112518"
69,"Sarotlahütte, Alpenverein Vorarlberg",88, Fabian Beck & Isabel Pöschl, +43 650 2881290, 46, 1.611 m, UTM Y (Nord) 5.217.016 UTM X (Ost) 559.681
70,"Heinrich-Hueter-Hütte, Alpenverein Vorarlberg",89, Simon und Iris Bock, 0043 5556 76570, 80, 1.766 m, UTM Y (Nord) 5.214.228 / UTM X (Ost) 559.507
71,"Tilisunahütte, Alpenverein Vorarlberg",91, Markus Jankowitsch, +43 664 1472896, 120, 2.211 m, UTM Y (Nord) 5.208.277 / UTM X (Ost) 566.312
72,"Totalphütte, Alpenverein Vorarlberg",92, Christian Beck, 0043 664 2400260, 83, 2.385 m, UTM Y (Nord) 5.211.275 / UTM X (Ost) 555.220
73,"Kaltenberghütte, DAV Sektion Reutlingen",95, Markus Kegele - Hüttenwirt Öffnungszeiten voraussichtlich ab 25.06.2022. Winterlagernutzung - Fragen hierzu an die Sektion, +43 (0)664 9280636, 70, 2.089 m, 47° 7? 9? N 10° 8? 34? E
74,"Neue Reutlinger Hütte, DAV Sektion Reutlingen",96, Hüttenwart, +49 (0)7121-330940, 12, 2395 m, Längengrad
75,"Freiburgerhütte, DAV Sektion Freiburg",97, Kathi & Flo Mittermayr, +436641745042, 119, 1918 m," N 47° 09' 46"" / E 09° 59' 26"""
76,"Bergheim Au, DAV Sektion Überlingen",99, Corinna Höhn, 0049 171 63 55 64 0, 67, 824 m, 47.318 / 9.963
77,"Gaudeamushütte, DAV Sektion Main-Spessart",100," Euer Friedl Warolly AV-Schutzhütte DAV Sektion Main-Spessart Stornierung nur über den Bestätigungslink im Reservierungssystem! Corona-Pandemie bitte prüft die aktuellen Auflagen vor Anreise, danke.", +43 53582262, 62, 1.263 m, 47.549167 N 12.324450 E
78,"Saupsdorfer Hütte, DAV Sektion Sächischer Bergsteigerbund",101, Familie Röllig, +49 (0) 35974 55848, 44, 285 m, 50.927783 N 14.335000 E
79,"Rotwandhaus, DAV Sektion Turner Alpenkränzchen",104, Peter Weihrer Rotwandhaus Spitzingsee 3 83727 Schliersee, 0049 8026 - 3959880, 60, 1737 m," 47° 38′ 46″ N, 11° 56′ 5″ O"
80,"Berliner Hütte, DAV Sektion Berlin",105, Maike Köck & Florian Illmer, +43 664 88 78 70 25, 140, 2042 m," 47°01'28.0""N 11°48'47.0""E"
81,"Goiserer Hütte, ÖAV, Alpenverein Bad Goisern",106, Verwagner Max, 0613521450, 26, 1.592 m, UTM Y (Nord) 5.275.143 / UTM X (Ost) 391.908
82,"Bergsteigerunterkunft Lauschige Ecke, DAV Sektion Berchtesgaden",107, DAV Sektion Berchtesgaden Bergsteigerunterkunft - Selbstversorger, 08652/976 46 10, 14, 600 m, XXX.XXX / YYY.YYY
83,"Zollnersee Hütte, Alpenverein Obergailtal-Lesachtal",109, -, 00436769602209, 32, 1.750 m, UTM Y (Nord) 5.163.170 / UTM X (Ost) 352.225
84,"Geraerhütte, DAV Sektion Landshut",110, Fam. Arthur Lanthaler, +43 676 9610303, 80 + 10 Winterraum, 2324 m," 47°02'36""N 11°37'41""E"
85,"Hofpürglhütte, Alpenverein Linz",111, Heinz Sudra Regina Sudra, 0043 6453 8304, 65, 1.703 m, UTM Y (Nord) 5.259.817 / UTM X (Ost) 388.435
86,"Rüsselsheimer Hütte, DAV Sektion Rüsselsheim",115, Tabea Kirschner, + 43 5413 203 00, 50, 2.323 m, N46 59.633 E010 53.283
87,"Bamberger Hütte, DAV Sektion Bamberg",116, Thomas Pletzer, +43 664 455 94 69, 72, 1.756 m, 47.308889 N 12.150556 E
88,"Mödlinger Hütte, Alpenverein Mödling",117, Irmgard und Heinz Rieger, + 43 3611 21120, 60, 1.523 m, UTM Y (Nord) 5.264.055 / UTM X (Ost) 466.370
89,"Olpererhütte, DAV Sektion Neumarkt i.d.Oberpfalz",119, Daum Katharina Innere Embergstraße 16 6272 Kaltenbach, 0043 664 417 65 66, 72, 2389 m," 47° 02,517' / 11° 41,300'"
90,"Hannoverhaus, DAV Bundesverband",121, Veronika Kapinova und Patrik Husar, +43 478 421 345, 60, 2.565 m," 47° 2? 26? N, 13° 12? 55? O"
91,"Greizer Hütte, DAV Sektion Greiz Sitz Marktredwitz",122, Herbert und Irmi Schneeberger, +43 664 1405003, 82, 2227 m, 11°53'08''/47°02'35''
92,"Lizumerhütte, Alpenverein Hall in Tirol",123, Lukas Aichhorn & Tobias Spechter E-Mail, +43 664 9272117, 84, 2.019 m, UTM Y (Nord) 5.227.076 / UTM X (Ost) 700.123
93,"Nürnberger Hütte, DAV Sektion Nürnberg",124, Martina und Leonhard Siller, 0043-(0)664-1657461, 130, 2297 m ü.N.N., 5206857/668632
94,"Edelweisshütte/Schneeberg, Alpenverein Edelweiß",125, Fam. Schmidt, 0043 2636 3616, 25, 1.235 m, UTM Y (Nord) 5.293.487 / UTM X (Ost) 561.047
95,"Meraner Hütte, AVS Meran",126, Anna Pafkovics & Heinz Bertolini, +39 0473 279 405, 65, 1960 m," N 46 40 59,800, E 11 16 54,972"
96,"Reintalangerhütte, DAV Sektion München",128, Andy & Julia Kiechle, +49 (0)160 97503090, 120, 1370 m," GPS N47° 24' 19,1'' , E11° 2' 8,4''"
97,"Neue Magdeburger Hütte, DAV Sektion Geltendorf",129, Familie Isser, 0043 523888790, 74, 1633 m," 47.288944, 11.296524"
98,"Dessauer Hütte, DAV Sektion Bergfreunde Anhalt Dessau",131," Selbstversorgerhütte
Onlinereservierung nur bis 18 Uhr, 2 Tage vor Anreise möglich!
Bitte gegebenenfalls auf die Hinweise achten! (Glocken-Symbol)", kein Hüttentelefon!, 30, 281 m," 50.8973335,14.1357629"
99,"Clarahütte, DAV Sektion Essen",132, Wir freuen uns auf Euch! Karin und Juraj +421 902 287 273 (außerhalb der Saison) www.virgental.at/clarahuette, +43 664 9758893, 40, 2038 m," 47,016/12,246"
100,"Essener und Rostocker Hütte, DAV Sektion Essen",133, Thomas LUDWIG Maurertal 1 - 9974 Prägraten am Großvenediger http, +43 4877 5101, 106, 2208 m, 47.03.18 12.17.53
101,"Capanna Scaletta, SAT Sezione Lucomagno",135, Pagani Ilaria 0799436862, +41 (0)91 872 26 28, 52, 2205 m, 715.060 / 162.920
102,"Oberlandhütte, DAV Sektion Oberland",138, Max und Jacky, +4353578113, 60, 1014 m," 47°22'46,5'' / 12°18'27''"
103,"Lenggrieser Hütte, DAV Sektion Lenggries",139, Michaela u.Florian Durach, 08042 5633096, 48, 1338m," 47° 39? 7? N, 11° 37? 52? O"
104,"Memminger Hütte, DAV Sektion Memmingen",140, Schindler Jarek, +43 (0) 676-7460208, 148, 2242," 47° 12? 1? N , 10° 28? 42? O"
105,"Peter-Wiechenthaler-Hütte, Alpenverein Saalfelden",141, Christiane und Philipp Feller, +43 664 9544822, 50, 1.752 m, UTM Y (Nord) 5.258.879 / UTM X (Ost) 339.877
106,"Hinteralmhaus, Alpenverein Edelweiss",142, Selbstversorger Hütte, 01 5138500, 10, 1442 m, UTM Nord 5.285.535 / Ost 538.675
107,"Bremer Hütte, DAV Sektion Bremen",143, Stefanie Höllrigl, +43 664 3047360, 83 (davon 10 im Winterraum), 2.413 m," N46°59'42,847'' / O11°15'47,59''"
108,"Ingolstädter Haus, DAV Sektion Ingolstadt",144, Michael Millinger, 0043 65828353, 98, 2119 m, N47° 30.101 E12° 53.225
109,"Riemannhaus, DAV Sektion Ingolstadt",145, Hannah-Sophie Strobel +49 177 4007904, 0043 658273300, 80, 2.177, N47° 27.472 E12° 54.882
110,"Gufferthütte, DAV Sektion Kaufering",148, Kathleen Beutmann, +43 676 62 92 404, 68, 1475 m, 473.454/114.758
111,"Knorrhütte, DAV Sektion München",149, Reichhold Christof und Maria, +49 /(0)1511-4443496, 112, 2051m," N 47°24'35.9'', E 11°0'45.1''"
112,"Münchner Haus, DAV Sektion München",150, Familie Barth, +49 /(0)8821 - 2901, 10, 2959 m," N 47°25'15.4'', E 10°59'5.7''"
113,"Watzmannhaus, DAV Sektion München",151, Bruno und Anette Verst, +49 /(0) 8652-964222, 200 - In 2020 wg Corona Pandemie max 100, 1930 m," N 47°34'16.5'', E 12°46'2.4''"
114,"Heinrich-Schwaiger-Haus, DAV Sektion München",152, Carol Freisleben, 0043 664 6565555, 72, 2802 m, 47.162783 / 12.738883
115,"Gruttenhütte, DAV Sektion Turner Alpenkränzchen",154, DAV Sektion TAK e.V., 0049 89 4485357, 103, 1620 m, 473.312 / 121.839
116,"Bordierhütte SAC, CAS Genevoise",156, Nathalie Werlen, +41 27 956 19 09, 44, 2886 m, 631770 / 110420
117,"Chamanna Jenatsch CAS, SAC Bernina",157, Jill Lucas und Daniel Sidler Versamerstrasse 56A 7402 Bonaduz, 081 833 29 29, 73, 2652 m, 775350 / 155660
118,"Salmhütte, Alpenverein Wien",159, Helga Pratl, +43 4824 2089, 50, 2.644 m, UTM Y (Nord) 5.212.908 UTM X (Ost) 326.866
119,"Muttekopfhütte, Alpenverein Imst Oberland",160, Patrick Zangerl, +43 6641236928, 53, 1.934 m, UTM Y (Nord) 5235701 / UTM X (Ost) 626310
120,"Berglihütte SAC, SAC Grindelwald",161, Hüttenwart, +41 79 355 12 60, 20, 3299 m, 644610 / 157440
121,"Neue Bonner Hütte, DAV Sektion Bonn",162, Andreas und Anschi König, +43 664 949 24 46, 29, 1712 m," 13°40’47’’, 47°02’13’’"
122,"Tölzer Hütte am Schafreuter, DAV Sektion Tölz",163, Mathias Petter, +43(0)699 10299302, 69, 1825 m, 47.504167 N /11.492778 E
123,"Wildhornhütte SAC, SAC Moléson",164, Monika & David Schmid, +41 (0) 33 733 23 82, 78, 2303 m, 596100 / 136430
124,"Cufercalhütte SAC, SAC Rätia",165, Reto & Anna Heinz, +41 (0)79 954 65 71, 23, 2385 m, 747150 / 162030
125,"Topalihütte SAC, SAC Monte Rosa",166, Georg Deck + Tina van der Zee, +41 27 956 21 72, 32, 2674 m, 624980 / 111760
126,"Capanna Monte Bar, CAS Ticino",168, Serge e James, 091 966 33 22, 42, 1602 m, 721.800 /106.610
127,"Gamshütte, DAV Sektion Otterfing",169, Corina, +436644282969, 38, 1921," 47°7'47""N / 11°47'45""O"
128,"Friesenberghaus, DAV Sektion Berlin",170, -Florian Schranz und Susanne Albertini, 00436767497550, 60, 2.498 m, XXX.XXX / YYY.YYY
129,"Riffelseehütte, DAV Sektion Frankfurt",171, Anita und Christian Waibl, +43 6643950062, 45, 2293 m, Längengrad
130,"Bad Kissinger Hütte, DAV Sektion Bad Kissingen",174, Sabine Wirth, 0043 676 3731166, 47, 1.788 m, 47.32067 N 10.33767 E
131,"Calandahütte SAC, SAC Rätia",176, Monika & Beat Gansner Talblick 2 7212 Seewis Dorf, +41 79 363 53 80, 30, 2073 m, 755750 / 194460
132,"Kampthalerhütte, Alpenverein Edelweiß",177, Selbstversorger Hütte, 015138500, 7 Notschlafplätze mit Schlafsack und Unterliegematte am Fußboden, 313 m, UTM Nord 5.331.795 / Ost 589.040
133,"Kasseler Hütte, DAV Sektion Kassel",178, Lukas Decker & Anna Stang, +436644016033, 95, 2.177 m," N 47°3'33'', E 11°56'54''"
134,"Pfeishütte, Alpenverein Innsbruck",179, Pächter, +43 512 552906, 60, 1.922 m, UTM Y (Nord) 5244697 / UTM X (Ost) 683255
135,"Furtschaglhaus, DAV Sektion Berlin",180, Herr Daniel Weber, +43 6818 4218751, 65, 2.295 m, 47° 0 4 N / 11° 44 50 O
136,"Brandenburger Haus, DAV Sektion Berlin",181, Katerina Kalinova und Petr Kalina, +43 720 920 308, 84 inkl. Notlager, 3277 m, 46.844450 N 10.778050 E
137,"Chamonas d'Ela CAS, SAC Sektion Davos",182, Huber Arthur, 078 878 98 41, 22, 2252 m, 772493 / 165597
138,"Göppinger Hütte, DAV Sektion Hohenstaufen",183, Schwaiger Veronika & Stefan, 0043 5583 3540, 70, 2245m, 47.214717N/10.045833E
139,"Porzehütte, Alpenverein Austria",185, Peter Auer, 00436643256452, 66, 1.942 m, UTM Y (Nord) 5.170.190 / UTM X (Ost) 315.034
140,"Südwiener Hütte, Alpenverein Gebirgsverein",186, Tanja Scharler, 0043664-3436342, 58, 1802 m," 14° 14,774´ / 13° 27,961"
141,"Schwarzwasserhütte, DAV Sektion Schwaben",189, Tine und Dominik Müller, 0043551730210, 75 mit Corona Auflagen weniger..., 1621m, 47.331111 N 10.086944 E
142,"Sudetendeutsche Hütte, DAV Sektion Schwaben",190, Wolfgang Kräh, +43 (0) 720 347802," 37 Hütte, + 12 Winterraum", 2.650m," N 47° 02' 57,5'' / E 12° 34' 34,7''"
143,"Stuttgarter Hütte, DAV Sektion Schwaben",192, Ang kami Lama, +43 6767580250, 50, 2310 m," 47° 10? 49? N , 10° 12? 17? O"
144,"Kärlingerhaus, DAV Sektion Berchtesgaden",195, In der Sommersaison 2022 wir auf dem Kärlingerhaus A. Bachmann aus dem Salzburgerland Euer Gastgeber sein., +49 (0)8652-6091010, 160, 1631 m, 47.495556 N / 12.937222 E
145,"Grubenberghütte, SAC Oldenhorn",196," Deborah Reber, Hüttenverantwortliche", +41 79 642 79 96, 23, 1840 m, 585.680/155.350
146,"Capanna Corno-Gries CAS, SAC Rossberg",197, Thomas Bärlocher, 091 869 11 29, 46, 2338 m, 674610 / 146650
147,"Capanna d'Alzasca CAS, CAS Locarno",198, CAS Locarno, 091 753 25 15, 20, 1734 m, 688700 / 125080
148,"Straubinger Haus, DAV Sektion Straubing",200, Lukas Kirschner und Angelina Gabl Tel, +43 5375 6429, 60, 1551 m, 47.620278N/12.499444E
149,"Bayreuther Hütte, DAV Sektion Bayreuth",201, -Anton Herrmann-, -00436643425103-, 60, 1576 m, 47.444722 / 11820833
150,"Nördlinger Hütte, DAV Sektion Nördlingen",202, Tobias Müller, 00436649142262, 45, 2238 m, 320.047 / 236.781
151,"Karl-von-Edel-Hütte, DAV Sektion Würzburg",203, Gabi und Siggi Schneeberger, +43(0)664-915-4851, 28 Betten 52 Matratzenlager, 2238 m, Geogr.
152,"Schreckhornhütte SAC, SAC Basel",204, Urban Hüsler, 033 855 10 25, 65, 2530 m, 650600 / 159150
153,"Rastkogelhütte, DAV Sektion Oberkochen",205, Kathleen Dammann, +43 680 22 57 124, 73, 2.124 m, 47° 13′ 55″ N / 11° 47′ 18″ O
154,"Brochhütte, SAC Oberhasli",206, Berchtold Bernhard, 079 259 02 06, 42, 1499 m, 653580 / 170160
155,"Almagellerhütte SAC, SAC Niesen",208, Anthamatten Hugo und Karin, +41 27 957 11 79, 120, 2894 m, 644.000 / 106.400
156,"Weissmieshütten SAC, SAC Olten",209, Carla und Roberto Arnold, 027 957 25 54, 110, 2726 m, 641660 / 110400
157,"Brünnsteinhaus, DAV Sektion Rosenheim",210, Sepp & Yvonne Tremml, +49 8033 1431, 50, 1360 m, UTM
158,"Zellerhütte, Sektion TK Windischgarsten",211, Theresia Panholzer, 0664/4112717, 22, 1.575 m, UTM Y (Nord) 5.280.835 / UTM X (Ost) 441.947
159,"Tutzinger Hütte, DAV Sektion Tutzing",212, Thomas Jauernig Tini Seemüller, +491751641690, 91, 1.327m, 47.657722 N/ 11.462417 E
160,"Windegghütte SAC, SAC Bern",214, Thommen Adrienne, 033 975 11 10, 41, 1887 m, 669.550 / 171.940
161,"Landsberger Hütte, DAV Sektion Landsberg",215, Reinhard Frühholz Landsberger Hütte am Vilsalpsee A 6675 Tannheim, ++43 (0)56756282, 140, 1810 m, 10°30'52 / 47°26'39
162,"Weidener Hütte, DAV Sektion Weiden",216, Jessica Spögler, 0043 66488109940, 56, 1799 m, 047.223 / 011.708
163,"Friedrichshafener Hütte, DAV Sektion Friedrichshafen",217, Wolfram und Hedda Walter Wirl 2 a 6563 Galtür Telefon 0043-676-7908056, 0043-676-7908056, 55, 2138 m, 0592443 / 5205319
164,"Simonyhütte, Alpenverein Austria",219, Christoph Mitterer, +43/680/2196374, 94, 2203m, UTM Y (Nord) 5261738 / UTM X (Ost) 396344
165,"Capanna Motterascio CAS, CAS Ticino",221, Keller Simone, 091 872 16 22, 70, 2172 m, 720060 / 161420
166,"Biberacher Hütte, DAV Sektion Biberach",222, Familie Schöpf-Eberhart, +435519257, 74, 1846 m," 47°15'28.0""N 10°01'43.0""E"
167,"Gleiwitzer Hütte, DAV Sektion Tittmoning",223, Antje Böttcher, +43 (0) 664 9294989, 55, 2176 m, XXX.XXX / YYY.YYY
168,"Wanderheim Kreuzmoos, Private Hütte",224, Angelika Lais & Lothar Dold, 07645-386, 50, 725 m, 48.18936 / 7.97712
